cid,contributor_code,collection_code,contribsys_id
100246470,AEU,AEU,ia-aeu4935357
100247182,AEU,AEU,ia-aeu4936091
100247398,AEU,AEU,ia-aeu4936316
100247438,AEU,AEU,ia-aeu4936360
100247456,AEU,AEU,ia-aeu4936378
100249284,AEU,AEU,ia-aeu4938238
100249778,AEU,AEU,ia-aeu4938763
100249787,AEU,AEU,ia-aeu4938772
100249898,AEU,AEU,ia-aeu4938886
100250339,AEU,AEU,ia-aeu4939337
100250443,AEU,AEU,ia-aeu4939442
100250703,AEU,AEU,ia-aeu4939715
100250710,AEU,AEU,ia-aeu4939722
100250718,AEU,AEU,ia-aeu4939730
100250768,AEU,AEU,ia-aeu4939781
100252191,AEU,AEU,ia-aeu4941351
100252397,AEU,AEU,ia-aeu4941559
100252527,AEU,AEU,ia-aeu4941698
100252535,AEU,AEU,ia-aeu4941706
100252536,AEU,AEU,ia-aeu4941707
100252537,AEU,AEU,ia-aeu4941708
100252571,AEU,AEU,ia-aeu4941743
100253038,AEU,AEU,ia-aeu4942219
100254177,AEU,AEU,ia-aeu4951340
100255083,AEU,AEU,ia-aeu4952292
100255277,AEU,AEU,ia-aeu4952495
100255331,AEU,AEU,ia-aeu4952552
100255462,AEU,AEU,ia-aeu4952703
100255544,AEU,AEU,ia-aeu4952786
100255644,AEU,AEU,ia-aeu4952904
100255650,AEU,AEU,ia-aeu4952910
100255652,AEU,AEU,ia-aeu4952912
100255653,AEU,AEU,ia-aeu4952913
100255653,AEU,AEU,ia-aeu4952914
100255718,AEU,AEU,ia-aeu4952981
100255825,AEU,AEU,ia-aeu4953091
100255835,AEU,AEU,ia-aeu4953101
100255839,AEU,AEU,ia-aeu4953105
100255840,AEU,AEU,ia-aeu4953106
100255841,AEU,AEU,ia-aeu4953107
100255851,AEU,AEU,ia-aeu4953118
100255852,AEU,AEU,ia-aeu4953119
100255855,AEU,AEU,ia-aeu4953122
100255856,AEU,AEU,ia-aeu4953123
100255858,AEU,AEU,ia-aeu4953125
100255859,AEU,AEU,ia-aeu4953126
100255863,AEU,AEU,ia-aeu4953130
100255864,AEU,AEU,ia-aeu4953131
100255865,AEU,AEU,ia-aeu4953132
100255867,AEU,AEU,ia-aeu4953134
